epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,7653.09,1.04071,0.82065,1.47001,0.77968,0.68674,0.77229,0.49748,1.19033,0.70955,1.66931,0.0066835,0.0066835,0.0066835
69,7759.25,1.03259,0.8174,1.46635,0.78856,0.68555,0.77238,0.49642,1.18733,0.70794,1.66647,0.006634,0.006634,0.006634
70,7865.16,1.03388,0.80963,1.46763,0.80491,0.68079,0.77371,0.49951,1.18486,0.70541,1.66557,0.0065845,0.0065845,0.0065845
71,7971.76,1.03727,0.82106,1.46622,0.82238,0.67005,0.7745,0.49885,1.18732,0.7075,1.66803,0.006535,0.006535,0.006535
72,8077.69,1.03033,0.8165,1.4638,0.80088,0.68627,0.77485,0.50142,1.18519,0.70644,1.66378,0.0064855,0.0064855,0.0064855
73,8183.52,1.03377,0.81049,1.46228,0.80073,0.68344,0.77516,0.50161,1.18518,0.70244,1.6625,0.006436,0.006436,0.006436
74,8290.04,1.02147,0.80709,1.45447,0.80303,0.68079,0.77705,0.49997,1.1848,0.70112,1.66212,0.0063865,0.0063865,0.0063865
75,8394.68,1.02881,0.81266,1.46186,0.80573,0.68246,0.77745,0.49946,1.18482,0.70149,1.6635,0.006337,0.006337,0.006337
76,8499.13,1.0304,0.80585,1.46319,0.80497,0.67822,0.77598,0.5006,1.18249,0.69922,1.66094,0.0062875,0.0062875,0.0062875
77,8605.54,1.02317,0.79714,1.4561,0.81064,0.67587,0.77574,0.50132,1.18363,0.69903,1.6612,0.006238,0.006238,0.006238
78,8711.82,1.02948,0.80515,1.4599,0.80687,0.67257,0.77394,0.50281,1.18333,0.70007,1.66144,0.0061885,0.0061885,0.0061885
79,8817.94,1.02532,0.79906,1.45654,0.80933,0.67674,0.77325,0.50246,1.18329,0.69902,1.66002,0.006139,0.006139,0.006139
80,8924.46,1.0146,0.7993,1.45178,0.8037,0.68154,0.7734,0.50272,1.18404,0.69876,1.66057,0.0060895,0.0060895,0.0060895
81,9030.44,1.02186,0.80204,1.45828,0.81183,0.67561,0.77344,0.50326,1.18526,0.69886,1.66008,0.00604,0.00604,0.00604
